Data;NDVI
2015-01-01;0.7493009667440063
2015-01-17;0.7599350348027843
2015-02-02;0.7792845397139052
2015-02-18;0.7438039821298169
2015-03-06;0.7544216289359512
2015-03-22;0.7545452811546889
2015-04-07;0.7490753339920101
2015-04-23;0.7477920615146699
2015-05-09;0.7316850208342284
2015-05-25;0.7246573564156538
2015-06-10;0.7013300012887156
2015-06-26;0.7029088835431079
2015-07-12;0.6718013660380602
2015-07-28;0.6429740066154046
2015-08-13;0.603513626014863
2015-08-29;0.5758401864341252
2015-09-14;0.5845087589673097
2015-09-30;0.6632350143906529
2015-10-16;0.7210944413419822
2015-11-01;0.7451539056457849
2015-11-17;0.7971665979204261
2015-12-03;0.7433508826940421
2015-12-19;0.6536220179545552
2016-01-01;0.4206323751826074
2016-01-17;0.7459902079573776
2016-02-02;0.7933802611796036
2016-02-18;0.7847430387903257
2016-03-05;0.7686553589071697
2016-03-21;0.7582815198247348
2016-04-06;0.7473231453241121
2016-04-22;0.7232003651359596
2016-05-08;0.67738571674041
2016-05-24;0.7135989088878392
2016-06-09;0.7034982301645263
2016-06-25;0.6594144035396713
2016-07-11;0.6436122299067831
2016-07-27;0.5963670174835691
2016-08-12;0.5875212552085569
2016-08-28;0.6250508183341209
2016-09-13;0.6475648008935094
2016-09-29;0.6662723226942743
2016-10-15;0.7321200652949015
2016-10-31;0.721661592334794
2016-11-16;0.6836997379049583
2016-12-02;0.47679121171770983
2016-12-18;0.7205556505304754
2017-01-01;0.7862887428031282
2017-01-17;0.6015278680072182
2017-02-02;0.7808613600240558
2017-02-18;0.7806050861291294
2017-03-06;0.7258122943425406
2017-03-22;0.7700769148159287
2017-04-07;0.7539588899866833
2017-04-23;0.7453643154774693
2017-05-09;0.7255315305640277
2017-05-25;0.7503939859959626
2017-06-10;0.7406737059152022
2017-06-26;0.7083951501353152
2017-07-12;0.6706521585978777
2017-07-28;0.6067702006099924
2017-08-13;0.5953042742385843
2017-08-29;0.5898030112977363
2017-09-14;0.6127054297865029
2017-09-30;0.6840065853344214
2017-10-16;0.6945178487048416
2017-11-01;0.764793623786199
2017-11-17;0.7349217753716594
2017-12-03;0.748299347107083
2017-12-19;0.767937210600919
2018-01-01;0.6842795909598693
2018-01-17;0.7400224026811035
2018-02-02;0.7347086386872292
2018-02-18;0.7379603204605011
2018-03-06;0.7362807551870788
2018-03-22;0.7567675372653466
2018-04-07;0.7401572232484213
2018-04-23;0.7322527471111302
2018-05-09;0.7422297177713818
2018-05-25;0.717194892392285
2018-06-10;0.6844377808325101
2018-06-26;0.6805712616521329
2018-07-12;0.6296284505348171
2018-07-28;0.6225505047467672
2018-08-13;0.6186946776064268
2018-08-29;0.5964107994329654
2018-09-14;0.6534221229434259
2018-09-30;0.7151613471369046
2018-10-16;0.7455149791657721
2018-11-01;0.7214763384033684
2018-11-17;0.7072018217753715
2018-12-03;0.7727285597697695
2018-12-19;0.7558692581933771
2019-01-01;0.7309991062988742
2019-01-17;0.7619796296296296
2019-02-02;0.7032165556939735
2019-02-18;0.7788450148202241
2019-03-06;0.7308986081876371
2019-03-22;0.7667414923321446
2019-04-07;0.7712018256797972
2019-04-23;0.7765485029425659
2019-05-09;0.7612007173847677
2019-05-25;0.7399837493019459
2019-06-10;0.684818673482538
2019-06-26;0.6897989346621418
2019-07-12;0.6412364878216419
2019-07-28;0.6248983117831521
2019-08-13;0.5564509901628077
2019-08-29;0.5847783581768979
2019-09-14;0.6116839039477638
2019-09-30;0.6454763177112421
2019-10-16;0.6808893423257013
2019-11-01;0.7212832345106127
2019-11-17;0.7494700395290884
2019-12-03;0.7926620935526827
2019-12-19;0.8110541127958423
2020-01-01;0.8038145398298528
2020-01-17;0.8038565738592417
2020-02-02;0.7702158082391859
2020-02-18;0.7877183083465787
2020-03-05;0.7394069418789466
2020-03-21;0.7437347008032994
2020-04-06;0.7587106361957128
2020-04-22;0.7460781390953223
2020-05-08;0.7454021091971305
2020-05-24;0.7271974741183043
2020-06-09;0.704391052021135
2020-06-25;0.6729689204862753
2020-07-11;0.6965176768761546
2020-07-27;0.6336943983848107
2020-08-12;0.6275613471369047
2020-08-28;0.5845003135873533
2020-09-13;0.6315722453713648
2020-09-29;0.6041885605051767
2020-10-15;0.7267951276102087
2020-10-31;0.7699194938558046
2020-11-16;0.7685748002062384
2020-12-02;0.7877144882092696
2020-12-18;0.7943033074180662
2021-01-01;0.7849817908395633
2021-01-17;0.7837598393056632
2021-02-02;0.8098545212423215
2021-02-18;0.7706120795566821
2021-03-06;0.7766148545899741
2021-03-22;0.7394582628119769
2021-04-07;0.7198351131921474
2021-04-23;0.730962468319086
2021-05-09;0.7128691997078913
2021-05-25;0.698879058378796
2021-06-10;0.7094088405859359
2021-06-26;0.6964421366897202
2021-07-12;0.5913331457536838
2021-07-28;0.5800883543107522
2021-08-13;0.4944611237596115
2021-08-29;0.4890814983461491
2021-09-14;0.6306423042226904
2021-09-30;0.7071863224365309
2021-10-16;0.7594814339103914
2021-11-01;0.7105475552118246
2021-11-17;0.727955327833634
2021-12-03;0.7448064344315106
2021-12-19;0.7825659335939178
2022-01-01;0.7329053622067542
2022-01-17;0.7510881455701637
2022-02-02;0.7765737402809403
2022-02-18;0.7183272949868983
2022-03-06;0.7159511405129085
2022-03-22;0.7346862837750767
2022-04-07;0.7298064135057349
2022-04-23;0.7566786932428371
2022-05-09;0.769064727866317
2022-05-25;0.739203458052322
2022-06-10;0.7618051591563211
2022-06-26;0.7190260835946564
2022-07-12;0.6890482666781217
2022-07-28;0.656597568624082
